,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,11.10.2021,00:00,00:15,3250,0,-,-
1,11.10.2021,00:15,00:30,25317,3507,-,-
2,11.10.2021,00:30,00:45,149878,0,-,-
3,11.10.2021,00:45,01:00,170273,0,-,-
4,11.10.2021,01:00,01:15,0,11868,-,-
5,11.10.2021,01:15,01:30,0,4400,-,-
6,11.10.2021,01:30,01:45,14,1655,-,-
7,11.10.2021,01:45,02:00,18056,0,-,-
8,11.10.2021,02:00,02:15,0,76567,-,-
9,11.10.2021,02:15,02:30,254,1001,-,-
10,11.10.2021,02:30,02:45,56,8552,-,-
11,11.10.2021,02:45,03:00,0,29834,-,-
12,11.10.2021,03:00,03:15,1386,6966,-,-
13,11.10.2021,03:15,03:30,4199,2405,-,-
14,11.10.2021,03:30,03:45,1728,7,-,-
15,11.10.2021,03:45,04:00,7793,0,-,-
16,11.10.2021,04:00,04:15,85,10745,-,-
17,11.10.2021,04:15,04:30,0,10673,-,-
18,11.10.2021,04:30,04:45,0,7425,-,-
19,11.10.2021,04:45,05:00,0,41627,-,-
20,11.10.2021,05:00,05:15,94647,3633,-,-
21,11.10.2021,05:15,05:30,15606,0,-,-
22,11.10.2021,05:30,05:45,266,5553,-,-
23,11.10.2021,05:45,06:00,2918,57,-,-
24,11.10.2021,06:00,06:15,11048,292,-,-
25,11.10.2021,06:15,06:30,11849,11027,-,-
26,11.10.2021,06:30,06:45,0,14989,-,-
27,11.10.2021,06:45,07:00,0,47551,-,-
28,11.10.2021,07:00,07:15,3001,0,-,-
29,11.10.2021,07:15,07:30,4851,0,-,-
30,11.10.2021,07:30,07:45,0,8581,-,-
31,11.10.2021,07:45,08:00,0,22797,-,-
32,11.10.2021,08:00,08:15,10,5209,-,-
33,11.10.2021,08:15,08:30,535,0,-,-
34,11.10.2021,08:30,08:45,1389,0,-,-
35,11.10.2021,08:45,09:00,0,0,-,-
36,11.10.2021,09:00,09:15,4363,0,-,-
37,11.10.2021,09:15,09:30,0,0,-,-
38,11.10.2021,09:30,09:45,0,2467,-,-
39,11.10.2021,09:45,10:00,0,0,-,-
40,11.10.2021,10:00,10:15,0,1588,-,-
41,11.10.2021,10:15,10:30,0,0,-,-
42,11.10.2021,10:30,10:45,0,0,-,-
43,11.10.2021,10:45,11:00,0,0,-,-
44,11.10.2021,11:00,11:15,0,0,-,-
45,11.10.2021,11:15,11:30,0,0,-,-
46,11.10.2021,11:30,11:45,0,0,-,-
47,11.10.2021,11:45,12:00,0,0,-,-
48,11.10.2021,12:00,12:15,2741,1430,-,-
49,11.10.2021,12:15,12:30,4048,0,-,-
50,11.10.2021,12:30,12:45,16650,0,-,-
51,11.10.2021,12:45,13:00,127506,0,-,-
52,11.10.2021,13:00,13:15,138345,0,-,-
53,11.10.2021,13:15,13:30,213410,0,-,-
54,11.10.2021,13:30,13:45,316503,0,-,-
55,11.10.2021,13:45,14:00,325335,0,-,-
56,11.10.2021,14:00,14:15,64087,0,-,-
57,11.10.2021,14:15,14:30,0,0,-,-
58,11.10.2021,14:30,14:45,0,0,-,-
59,11.10.2021,14:45,15:00,121541,0,-,-
60,11.10.2021,15:00,15:15,81789,0,-,-
61,11.10.2021,15:15,15:30,229,0,-,-
62,11.10.2021,15:30,15:45,0,0,-,-
63,11.10.2021,15:45,16:00,0,0,-,-
64,11.10.2021,16:00,16:15,8465,83,-,-
65,11.10.2021,16:15,16:30,0,1708,-,-
66,11.10.2021,16:30,16:45,0,27012,-,-
67,11.10.2021,16:45,17:00,0,39285,-,-
68,11.10.2021,17:00,17:15,48447,0,-,-
69,11.10.2021,17:15,17:30,20,0,-,-
70,11.10.2021,17:30,17:45,3101,0,-,-
71,11.10.2021,17:45,18:00,10128,14410,-,-
72,11.10.2021,18:00,18:15,89300,689,-,-
73,11.10.2021,18:15,18:30,62876,155,-,-
74,11.10.2021,18:30,18:45,12501,0,-,-
75,11.10.2021,18:45,19:00,0,0,-,-
76,11.10.2021,19:00,19:15,0,0,-,-
77,11.10.2021,19:15,19:30,13773,0,-,-
78,11.10.2021,19:30,19:45,32134,0,-,-
79,11.10.2021,19:45,20:00,1068,0,-,-
80,11.10.2021,20:00,20:15,0,65134,-,-
81,11.10.2021,20:15,20:30,91,398,-,-
82,11.10.2021,20:30,20:45,996,8807,-,-
83,11.10.2021,20:45,21:00,57496,6457,-,-
84,11.10.2021,21:00,21:15,1753,16986,-,-
85,11.10.2021,21:15,21:30,0,40508,-,-
86,11.10.2021,21:30,21:45,33,3214,-,-
87,11.10.2021,21:45,22:00,5783,11005,-,-
88,11.10.2021,22:00,22:15,2498,3423,-,-
89,11.10.2021,22:15,22:30,0,0,-,-
90,11.10.2021,22:30,22:45,2515,0,-,-
91,11.10.2021,22:45,23:00,24241,1868,-,-
92,11.10.2021,23:00,23:15,3006,9559,-,-
93,11.10.2021,23:15,23:30,8326,23129,-,-
94,11.10.2021,23:30,23:45,6224,0,-,-
95,11.10.2021,23:45,00:00,56,2166,-,-
